N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,kappa_1_at_t0,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,0,240.0,240.0,3.9843998,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,1,404.0,404.0,3.5837998,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,2,190.0,190.0,3.9991,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,3,934.0,934.0,3.5005999,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,4,201.0,201.0,3.8437998,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,5,152.0,152.0,4.1614,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,6,758.0,758.0,3.6495,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,7,508.0,508.0,3.3460999,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,8,237.0,237.0,4.0596,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,9,1880.0,1880.0,3.8456,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,10,148.0,148.0,4.0165,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,11,1605.0,1605.0,3.5512,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,12,165.0,165.0,3.9896998,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,13,862.0,862.0,3.6208,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,14,1801.0,1801.0,3.9724998,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,15,532.0,532.0,4.7144,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,16,1714.0,1714.0,4.1969,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,17,484.0,484.0,4.3866997,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,18,1132.0,1132.0,3.8713,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,19,935.0,935.0,4.093,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,20,1164.0,1164.0,3.5867999,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,21,2372.0,2372.0,4.0829,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,22,499.0,499.0,3.8941,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,23,463.0,463.0,3.7977,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,24,290.0,290.0,3.7168,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,25,436.0,436.0,4.3382,0,0.0,1.0,1.0
10000,1.0,0.4,0.014666810181288346,3.684136148790474,0.003981071705534975,0.45841608216115287,0.9999999999999999,exponential,26,1685.0,1685.0,3.9213998,0,0.0,1.0,1.0
