N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,kappa_1_at_t0,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,0,7074.0,7074.0,1.8743,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,1,2308.0,2308.0,2.5657,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,2,14879.0,14879.0,2.5657,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,3,4173.0,4173.0,2.3736,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,4,6185.0,6185.0,1.9971999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,5,4383.0,4383.0,2.6334999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,6,8308.0,8308.0,2.1151,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,7,6255.0,6255.0,2.3499,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,8,3685.0,3685.0,2.8494,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,9,17747.0,17747.0,2.8312,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,10,2103.0,2103.0,2.4893,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,11,3177.0,3177.0,1.8313999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,12,16397.0,16397.0,2.9959,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,13,35770.0,35770.0,2.0376,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,14,9115.0,9115.0,2.8746998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,15,18441.0,18441.0,3.2252,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,16,8941.0,8941.0,2.4325,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,17,3086.0,3086.0,2.0142,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,18,1208.0,1208.0,2.6304,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,19,15694.0,15694.0,2.6118999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,20,5428.0,5428.0,2.3927,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,21,25547.0,25547.0,2.4226,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,22,4354.0,4354.0,2.6808999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,23,13599.0,13599.0,2.2226999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,24,7825.0,7825.0,2.6775,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,25,1193.0,1193.0,2.1734,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,26,686.0,686.0,1.8088,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,27,10365.0,10365.0,1.9961,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,28,10255.0,10255.0,2.1153998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,29,3622.0,3622.0,2.2726998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,30,3885.0,3885.0,1.9406999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,31,10161.0,10161.0,2.4252,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,32,9263.0,9263.0,2.2939,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,33,19860.0,19860.0,2.1304998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,34,18266.0,18266.0,2.3051,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,35,17186.0,17186.0,2.4771,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,36,4367.0,4367.0,2.7124999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,37,4660.0,4660.0,3.5509999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,38,2676.0,2676.0,2.3687,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,39,1594.0,1594.0,2.5778,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,40,2885.0,2885.0,2.6843998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,41,2836.0,2836.0,3.5784998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,42,11745.0,11745.0,3.0647,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,43,9912.0,9912.0,2.3967,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,44,10516.0,10516.0,2.4259,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,45,5842.0,5842.0,2.3293,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,46,17455.0,17455.0,3.1195,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,47,4519.0,4519.0,2.3293998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,48,1460.0,1460.0,2.4278998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,49,2347.0,2347.0,2.0792,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,50,3131.0,3131.0,2.6441,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,51,14880.0,14880.0,2.2766,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,52,17690.0,17690.0,2.7240999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,53,562.0,562.0,2.3367999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,54,1779.0,1779.0,2.0191,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,55,13750.0,13750.0,2.2127,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,56,4054.0,4054.0,1.9296999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,57,6211.0,6211.0,1.9731,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,58,8536.0,8536.0,2.8513,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,59,4305.0,4305.0,1.8841,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,60,8529.0,8529.0,2.2391,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,61,6169.0,6169.0,2.0516,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,62,2303.0,2303.0,3.3381,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,63,6968.0,6968.0,2.2786,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,64,10491.0,10491.0,2.5509999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,65,3086.0,3086.0,2.2846,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,66,4939.0,4939.0,2.6037998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,67,4298.0,4298.0,2.4517999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,68,28477.0,28477.0,2.4564,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,69,3708.0,3708.0,2.0211,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,70,4599.0,4599.0,2.9408998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,71,10627.0,10627.0,2.2058,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,72,12357.0,12357.0,2.1999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,73,7386.0,7386.0,2.375,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,74,15858.0,15858.0,2.7194998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,75,1104.0,1104.0,2.0616,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,76,20886.0,20886.0,1.9912,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,77,4521.0,4521.0,2.6281,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,78,3612.0,3612.0,2.5012999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,79,9317.0,9317.0,3.0087,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,80,12131.0,12131.0,2.3149,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,81,957.0,957.0,1.9379,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,82,12434.0,12434.0,2.8630998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,83,3119.0,3119.0,2.254,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,84,5503.0,5503.0,2.6924999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,85,2856.0,2856.0,2.6994998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,86,3499.0,3499.0,2.7310998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,87,3568.0,3568.0,2.4027998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,88,12109.0,12109.0,2.3195,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,89,11398.0,11398.0,2.5886998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,90,11435.0,11435.0,2.4773998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,91,1305.0,1305.0,1.9223,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,92,2640.0,2640.0,2.3701,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,93,8717.0,8717.0,2.1518,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,94,3709.0,3709.0,2.4482,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,95,6580.0,6580.0,1.9511,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,96,4114.0,4114.0,2.4292998,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,97,13837.0,13837.0,2.0869,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,98,3071.0,3071.0,2.3332999,0,0.0,1.0,1.0
10000,1.3,0.2,0.0015109462947438107,1.842068074395237,0.0008202445478242515,0.705187743000439,1.2999999999999998,one_minus_alpha_power,99,2254.0,2254.0,2.4336998,0,0.0,1.0,1.0
