N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,kappa_1_at_t0,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,0,402.0,402.0,5.9302096,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,1,524.0,524.0,5.84972,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,2,271.0,271.0,6.23072,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,3,393.0,393.0,5.90868,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,4,1027.0,1027.0,5.5812798,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,5,353.0,353.0,5.8557796,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,6,339.0,339.0,5.8891196,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,7,770.0,770.0,5.7638497,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,8,459.0,459.0,6.03693,0,0.0,1.0,1.0
100000,1.3,0.5,0.023664593550688354,5.756462732485114,0.004110960958218893,0.32518019006433246,1.2999999999999998,one_minus_alpha_power,9,4367.0,4367.0,5.9495497,0,0.0,1.0,1.0
