N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,kappa_1_at_t0,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,0,122550.0,122550.0,2.1763,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,1,191811.0,191811.0,2.13721,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,2,664255.0,664255.0,1.83943,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,3,25963.0,25963.0,1.67438,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,4,103209.0,103209.0,1.66732,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,5,74032.0,74032.0,1.9323499,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,6,166384.0,166384.0,1.70469,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,7,146045.0,146045.0,1.15375,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,8,76123.0,76123.0,2.67838,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,9,418299.0,418299.0,1.6829499,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,10,379535.0,379535.0,1.2738099,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,11,471092.0,471092.0,1.85399,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,12,37919.0,37919.0,1.5489,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,13,176573.0,176573.0,1.26081,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,14,104013.0,104013.0,2.02138,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,15,50927.0,50927.0,1.80879,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,16,191804.0,191804.0,2.1196198,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,17,252362.0,252362.0,2.44048,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,18,47996.0,47996.0,1.98429,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,19,164574.0,164574.0,1.67554,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,20,36572.0,36572.0,2.16941,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,21,96756.0,96756.0,2.09186,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,22,494557.0,494557.0,2.1956599,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,23,204483.0,204483.0,2.3947098,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,24,123275.0,123275.0,1.83353,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,25,34795.0,34795.0,1.47382,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,26,89222.0,89222.0,1.85374,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,27,301376.0,301376.0,2.2260299,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,28,160854.0,160854.0,1.53179,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,29,59339.0,59339.0,1.7474799,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,30,60313.0,60313.0,1.8538699,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,31,29898.0,29898.0,1.9211899,0,0.0,1.0,1.0
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,one_minus_alpha_power,32,46309.0,46309.0,1.8350699,0,0.0,1.0,1.0
