N,psi,delta,u,u_div_s,s,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,num_classes,T_MAX
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,0,True,1761.0,1761.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,1,True,668.0,668.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,2,True,226.0,226.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,3,True,2136.0,2136.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,4,True,4211.0,4211.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,5,True,1082.0,1082.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,6,True,2731.0,2731.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,7,True,3538.0,3538.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,8,True,4556.0,4556.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,9,True,1193.0,1193.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,10,True,280.0,280.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,11,True,3511.0,3511.0,256,1000000
10000,5.0,0.4,0.07333405090644174,3.684136148790474,0.019905358527674877,0.28367358107714813,5.0,one_minus_s_power,12,True,1314.0,1314.0,256,1000000
