generation,X_0_count,X_0_frequency
0,2,2.000000e-04
1,3,3.000000e-04
2,3,3.000000e-04
3,4,4.000000e-04
4,4,4.000000e-04
5,6,6.000000e-04
6,5,5.000000e-04
7,5,5.000000e-04
8,2,2.000000e-04
9,2,2.000000e-04
10,3,3.000000e-04
11,1,1.000000e-04
12,0,0.000000e+00
