N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,leading_zero_count_at_t0,first_nonzero_class_at_t0,kappa_1_at_t0,final_kappa_1,final_X0_count,final_X_0,num_classes,T_MAX
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,0,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.3583,242,0.0242,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,1,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2165,1559,0.1559,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,2,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.3514999,3048,0.3048,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,3,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.3039,1041,0.1041,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,4,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2261,577,0.057699997,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,5,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8465999,954,0.0954,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,6,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8281,1917,0.1917,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,7,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7838,1563,0.1563,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,8,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.3819,2310,0.23099999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,9,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5239999,2110,0.211,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,10,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0655,1014,0.101399995,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,11,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1357,1114,0.1114,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,12,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6844,860,0.085999995,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,13,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.2407,3694,0.3694,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,14,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7009,2109,0.2109,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,15,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.3705,1235,0.1235,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,16,True,698.0,698.0,1000,1000,"min(5 * t_0, 1000)",1.0,1.0,2.2107,2.1885,0,0.0,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,17,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9672999,2458,0.24579999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,18,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9876,1089,0.108899996,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,19,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.4601998,102,0.010199999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,20,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6766,1589,0.1589,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,21,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8575,649,0.064899996,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,22,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5701,1836,0.1836,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,23,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.415,2736,0.27359998,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,24,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2774,1887,0.18869999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,25,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6783999,1666,0.16659999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,26,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2716,620,0.062,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,27,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4598,2249,0.22489999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,28,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6251,2341,0.2341,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,29,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8563,2664,0.26639998,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,30,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1162,1678,0.1678,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,31,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1439,178,0.0178,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,32,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8247999,1210,0.121,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,33,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5738,1252,0.1252,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,34,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5136,3141,0.3141,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,35,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6177,1384,0.1384,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,36,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0133,524,0.0524,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,37,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1176999,2026,0.2026,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,38,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.5588999,1181,0.118099995,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,39,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4284999,2810,0.281,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,40,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4813,1980,0.198,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,41,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1481,2272,0.2272,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,42,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9106,1156,0.1156,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,43,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0108,556,0.0556,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,44,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1754,399,0.039899997,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,45,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.3202,1302,0.1302,10000,1000
