N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,X0_count_at_t0,X_0_at_t0,kappa_1_at_t0,leading_zero_count_at_t0,first_nonzero_class_at_t0
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,35,202,202,0,0.0,3.0695,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,52,292,292,0,0.0,3.349,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,13,346,346,0,0.0,3.6401,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,8,444,444,0,0.0,3.1467,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,27,470,470,0,0.0,3.1051,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,2,489,489,0,0.0,3.1754,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,85,565,565,0,0.0,3.1585,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,99,605,605,0,0.0,2.566,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,37,606,606,0,0.0,3.0061,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,72,632,632,0,0.0,3.7120998,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,92,637,637,0,0.0,2.9319,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,75,647,647,0,0.0,2.8344998,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,98,666,666,0,0.0,2.7858,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,78,679,679,0,0.0,3.1043,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,31,701,701,0,0.0,3.5082998,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,82,701,701,0,0.0,2.7319999,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,68,755,755,0,0.0,3.0259,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,69,762,762,0,0.0,3.4912,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,42,818,818,0,0.0,2.942,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,10,824,824,0,0.0,3.1567,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,5,826,826,0,0.0,3.1764998,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,12,832,832,0,0.0,3.7586,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,19,852,852,0,0.0,2.9133,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,74,922,922,0,0.0,2.9542,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,94,926,926,0,0.0,2.6476,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,28,946,946,0,0.0,2.6566,1,1
10000,1.0,0.3,0.004379221726738444,2.763102111592855,0.0015848931924611136,0.5896507663132279,1.0,exponential,21,982,982,0,0.0,2.8973,1,1
